,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
761,GCA_002375695.1,GCA_002375695.1_ASM237569v1_genomic,s__algicola (UID2847),98.17,0.0,0.0,98.17,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sp002375695,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita sp002375695,15,27,2713065,2710761,0.085,3,453745,4,296113,7,115204,12,60403,498539,453745,9,96.463,0.35991,0.00748,Medium,2453,4568,1067,1658,50,43.497757847533634,67.59070525886669,2.038320423970648,ASM237569v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06453355,,Uncultivated Flavobacteriaceae bacterium UBA3591 genome recovered from ERX556327,,,,,,Uncultivated genome recovered from an assembly of the ERX556327 metagenome.,1900-01-01T00:00:00Z,donovan.parks@gmail.com,,15.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/375/695/GCA_002375695.1_ASM237569v1,,,DFMO01000000,,Flavobacteriaceae bacterium UBA3591,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3591,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951832.0,,Flavobacteriaceae bacterium UBA3591,Flavobacteriaceae bacterium UBA3591,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06453355,Flavobacteriaceae bacterium UBA3591,metagenomic assembly,2017/09/27,University of Queensland,32.72x,,Illumina,Illumina,,,1951832.0,,,UBA3591,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556327 metagenome,,1951832.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599376.,latest,DFMO00000000.1,,,True,Marine
762,GCA_002376145.1,GCA_002376145.1_ASM237614v1_genomic,o__Flavobacteriales (UID2815),98.32,0.41,0.0,96.27,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella sp002477665,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp002477665,24,77,2310798,2307418,0.146,6,132833,14,59850,16,60179,41,20799,260789,120312,17,93.064,0.4496600000000001,0.0117,Medium,2334,3735,981,1533,26,42.03084832904885,65.68123393316195,1.1139674378748932,ASM237614v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06456099,,Uncultivated Flavobacteriales bacterium UBA3559 genome recovered from SRX823122,,,,,,Uncultivated genome recovered from an assembly of the SRX823122 metagenome.,1900-01-01T00:00:00Z,donovan.parks@gmail.com,,24.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/376/145/GCA_002376145.1_ASM237614v1,,,DFNU01000000,,Flavobacteriales bacterium UBA3559,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA3559,,United States,,metal,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1950998.0,,Flavobacteriales bacterium UBA3559,Flavobacteriales bacterium UBA3559,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06456099,Flavobacteriales bacterium UBA3559,metagenomic assembly,2017/09/27,University of Queensland,8.46x,,Illumina,Illumina,,,1950998.0,,,UBA3559,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX823122 metagenome,,1950998.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1749739.,latest,DFNU00000000.1,,,True,Non_marine
763,GCA_002376315.1,GCA_002376315.1_ASM237631v1_genomic,s__algicola (UID2847),88.79,0.29,50.0,87.34,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Altibacter;s__Altibacter sp002696485,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Altibacter,Altibacter sp002696485,47,544,2828111,2770744,2.028,7,109207,85,10126,28,24709,280,2909,400532,52683,17,77.10600000000002,0.42304,0.01365,Low,2570,4101,985,1583,39,38.32684824902724,61.59533073929961,1.517509727626459,ASM237631v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06453350,,Uncultivated Flavobacteriaceae bacterium UBA3594 genome recovered from ERX556327,,,,,,Uncultivated genome recovered from an assembly of the ERX556327 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,47.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/376/315/GCA_002376315.1_ASM237631v1,,,DFML01000000,,Flavobacteriaceae bacterium UBA3594,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3594,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951833.0,,Flavobacteriaceae bacterium UBA3594,Flavobacteriaceae bacterium UBA3594,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06453350,Flavobacteriaceae bacterium UBA3594,metagenomic assembly,2017/09/27,University of Queensland,10.64x,,Illumina,Illumina,,,1951833.0,,,UBA3594,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556327 metagenome,,1951833.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599376.,latest,DFML00000000.1,,,True,Marine
764,GCA_002376925.1,GCA_002376925.1_ASM237692v1_genomic,s__algicola (UID2846),82.13,5.51,7.14,54.58,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA3537;s__UBA3537 sp002709185,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002709185,127,206,1811734,1785405,1.453,22,22570,28,19025,81,6710,100,4727,109338,80116,3,15.246,0.37716,0.01364,Medium,1594,2891,781,1139,43,48.996235884567135,71.45545796737767,2.6976160602258465,ASM237692v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06455298,,Uncultivated Flavobacteriaceae bacterium UBA3537 genome recovered from ERX556094,,,,,,Uncultivated genome recovered from an assembly of the ERX556094 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,127.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/376/925/GCA_002376925.1_ASM237692v1,,,DFOQ01000000,,Flavobacteriaceae bacterium UBA3537,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3537,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951831.0,,Flavobacteriaceae bacterium UBA3537,Flavobacteriaceae bacterium UBA3537,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06455298,Flavobacteriaceae bacterium UBA3537,metagenomic assembly,2017/09/27,University of Queensland,14.77x,,Illumina,Illumina,,,1951831.0,,,UBA3537,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556094 metagenome,,1951831.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599142.,latest,DFOQ00000000.1,,,True,Marine
765,GCA_002378465.1,GCA_002378465.1_ASM237846v1_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter falsenii,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter falsenii,68,84,3016307,3014071,0.07400000000000001,12,87542,13,66426,41,20416,49,18313,223102,193556,17,63.91,0.31594,0.011000000000000001,High,2846,4799,1196,1879,53,42.023893183415325,66.02248770203795,1.8622628250175683,ASM237846v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06453470,,Uncultivated Empedobacter sp. UBA3475 genome recovered from SRX822584,,,,,,Uncultivated genome recovered from an assembly of the SRX822584 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,68.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/378/465/GCA_002378465.1_ASM237846v1,,,DFRA01000000,,Empedobacter sp. UBA3475,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA3475,,United States,,wood,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1946435.0,,Empedobacter sp. UBA3475,Empedobacter sp. UBA3475,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06453470,Empedobacter sp. UBA3475,metagenomic assembly,2017/09/27,University of Queensland,19.98x,,Illumina,Illumina,,,1946435.0,,,UBA3475,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX822584 metagenome,,1946435.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1749201.,latest,DFRA00000000.1,,,True,Non_marine
766,GCA_002378585.1,GCA_002378585.1_ASM237858v1_genomic,s__algicola (UID2846),66.43,0.48,20.0,64.03,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp002378585,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-120531,MAG-120531 sp002378585,158,342,1417511,1358233,4.182,34,11892,54,7581,116,4303,184,2120,54595,41543,1,3.851,0.44168,0.02197,Low,1240,2084,599,900,17,48.306451612903224,72.5806451612903,1.3709677419354842,ASM237858v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06452670,,Uncultivated Flavobacteriaceae bacterium UBA3440 genome recovered from ERX943717,,,,,,Uncultivated genome recovered from an assembly of the ERX943717 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,158.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/378/585/GCA_002378585.1_ASM237858v1,,,DFSJ01000000,,Flavobacteriaceae bacterium UBA3440,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3440,,,,"Columbia River plume, salinty 25",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951829.0,,Flavobacteriaceae bacterium UBA3440,Flavobacteriaceae bacterium UBA3440,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06452670,Flavobacteriaceae bacterium UBA3440,metagenomic assembly,2017/09/27,University of Queensland,20.7x,,Illumina,Illumina,,,1951829.0,,,UBA3440,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX943717 metagenome,,1951829.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR864073.,latest,DFSJ00000000.1,,,True,Marine
767,GCA_002379575.1,GCA_002379575.1_ASM237957v1_genomic,f__Flavobacteriaceae (UID2817),99.29,0.35,0.0,97.54,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp001898245,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp001898245,34,47,3910847,3910113,0.019,8,176764,10,124333,21,55731,27,46262,423985,286145,22,92.014,0.39606,0.01592,Medium,3604,5802,1326,2152,50,36.79245283018868,59.71143174250832,1.3873473917869037,ASM237957v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06455642,,Uncultivated Flavobacterium sp. UBA4197 genome recovered from SRX703649,,,,,,Uncultivated genome recovered from an assembly of the SRX703649 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,34.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/379/575/GCA_002379575.1_ASM237957v1,,,DFUB01000000,,Flavobacterium sp. UBA4197,,Full,WGS,,"Spain: Alfacada pond, Ebro delta, Tarragona","Alfacada pond, Ebro delta, Tarragona",Spain,,,,,,,,,,,,,,,,,,,,,,,,UBA4197,,Spain,,epidermal mucus of Anguilla anguilla fishes in Ebro delta,Parks,,,,,0.7.12-r1039,,fish metagenome,,,,University of Queensland,1946546.0,,Flavobacterium sp. UBA4197,Flavobacterium sp. UBA4197,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06455642,Flavobacterium sp. UBA4197,metagenomic assembly,2017/09/27,University of Queensland,31x,,Illumina,Illumina,,,1946546.0,,,UBA4197,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX703649 metagenome,,1946546.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the fish metagenome reads: SRR1578068.,latest,DFUB00000000.1,,,True,Unclassified
768,GCA_002379725.1,GCA_002379725.1_ASM237972v1_genomic,k__Bacteria (UID2565),95.64,0.0,0.0,95.64,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter falsenii,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter falsenii,102,187,3426729,3418394,0.243,19,60293,28,33942,60,15659,93,10186,160928,160892,23,58.333,0.31418,0.01609,High,3414,5050,1275,2052,69,37.34622144112478,60.105448154657296,2.0210896309314585,ASM237972v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06450889,,Uncultivated Empedobacter sp. UBA4185 genome recovered from SRX823246,,,,,,Uncultivated genome recovered from an assembly of the SRX823246 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,102.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/379/725/GCA_002379725.1_ASM237972v1,,,DFUN01000000,,Empedobacter sp. UBA4185,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA4185,,United States,,wood,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1946436.0,,Empedobacter sp. UBA4185,Empedobacter sp. UBA4185,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06450889,Empedobacter sp. UBA4185,metagenomic assembly,2017/09/27,University of Queensland,9.69x,,Illumina,Illumina,,,1946436.0,,,UBA4185,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX823246 metagenome,,1946436.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1749863.,latest,DFUN00000000.1,,,True,Non_marine
769,GCA_002379965.1,GCA_002379965.1_ASM237996v1_genomic,s__algicola (UID2846),96.49,1.6,16.67,88.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Euzebyella;s__Euzebyella marina,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Euzebyella,Euzebyella marina,113,166,4408305,4391488,0.381,24,57715,28,52415,73,20120,85,16204,198598,154665,31,59.095,0.40176,0.01326,Medium,3740,6638,1523,2523,138,40.721925133689844,67.45989304812835,3.6898395721925135,ASM237996v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451758,,Uncultivated Flavobacteriaceae bacterium UBA4167 genome recovered from ERX556083,,,,,,Uncultivated genome recovered from an assembly of the ERX556083 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,113.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/379/965/GCA_002379965.1_ASM237996v1,,,DFVF01000000,,Flavobacteriaceae bacterium UBA4167,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA4167,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951842.0,,Flavobacteriaceae bacterium UBA4167,Flavobacteriaceae bacterium UBA4167,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451758,Flavobacteriaceae bacterium UBA4167,metagenomic assembly,2017/09/27,University of Queensland,14.47x,,Illumina,Illumina,,,1951842.0,,,UBA4167,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556083 metagenome,,1951842.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR598964.,latest,DFVF00000000.1,,,True,Marine
770,GCA_002379985.1,GCA_002379985.1_ASM237998v1_genomic,s__algicola (UID2847),98.32,0.84,25.0,94.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA4166;s__UBA4166 sp002379985,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA4166,UBA4166 sp002379985,58,92,2877924,2867317,0.369,11,74141,12,72829,37,23894,41,19728,341300,339172,16,63.102,0.42363,0.011000000000000001,Medium,2646,4755,1091,1755,53,41.232048374905524,66.3265306122449,2.00302343159486,ASM237998v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451757,,Uncultivated Flavobacteriaceae bacterium UBA4166 genome recovered from ERX556083,,,,,,Uncultivated genome recovered from an assembly of the ERX556083 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,58.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/379/985/GCA_002379985.1_ASM237998v1,,,DFVG01000000,,Flavobacteriaceae bacterium UBA4166,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA4166,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951841.0,,Flavobacteriaceae bacterium UBA4166,Flavobacteriaceae bacterium UBA4166,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451757,Flavobacteriaceae bacterium UBA4166,metagenomic assembly,2017/09/27,University of Queensland,16.28x,,Illumina,Illumina,,,1951841.0,,,UBA4166,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556083 metagenome,,1951841.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR598964.,latest,DFVG00000000.1,,,True,Marine
771,GCA_002380515.1,GCA_002380515.1_ASM238051v1_genomic,s__algicola (UID2847),98.69,1.63,30.0,90.54,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella sp002708845,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella sp002708845,46,71,4193226,4184759,0.202,7,230017,9,179912,20,61112,27,47130,480171,480171,22,93.734,0.40757,0.01154,Medium,3556,6276,1426,2334,173,40.101237345331846,65.6355455568054,4.865016872890888,ASM238051v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451759,,Uncultivated Leeuwenhoekiella sp. UBA4164 genome recovered from ERX556083,,,,,,Uncultivated genome recovered from an assembly of the ERX556083 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,46.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/380/515/GCA_002380515.1_ASM238051v1,,,DFVI01000000,,Leeuwenhoekiella sp. UBA4164,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA4164,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1946746.0,,Leeuwenhoekiella sp. UBA4164,Leeuwenhoekiella sp. UBA4164,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451759,Leeuwenhoekiella sp. UBA4164,metagenomic assembly,2017/09/27,University of Queensland,28.92x,,Illumina,Illumina,,,1946746.0,,,UBA4164,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556083 metagenome,,1946746.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR598964.,latest,DFVI00000000.1,,,True,Marine
772,GCA_002380565.1,GCA_002380565.1_ASM238056v1_genomic,o__Flavobacteriales (UID2815),87.54,0.0,0.0,87.54,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella sp002477665,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp002477665,126,348,2206501,2189703,0.7609999999999999,28,25057,52,10807,84,8314,186,3585,78271,71740,6,16.727,0.45067,0.016569999999999998,Medium,2556,3393,1015,1596,23,39.710485133020356,62.44131455399062,0.8998435054773083,ASM238056v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451753,,Uncultivated Flavobacteriales bacterium UBA4162 genome recovered from SRX822826,,,,,,Uncultivated genome recovered from an assembly of the SRX822826 metagenome.,2017-09-27T00:00:00Z,donovan.parks@gmail.com,,126.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/380/565/GCA_002380565.1_ASM238056v1,,,DFVK01000000,,Flavobacteriales bacterium UBA4162,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA4162,,United States,,metal,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1951004.0,,Flavobacteriales bacterium UBA4162,Flavobacteriales bacterium UBA4162,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451753,Flavobacteriales bacterium UBA4162,metagenomic assembly,2017/09/27,University of Queensland,5.91x,,Illumina,Illumina,,,1951004.0,,,UBA4162,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX822826 metagenome,,1951004.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1749443.,latest,DFVK00000000.1,,,True,Non_marine
