Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1018.22","Capnocytophaga ochracea strain NCTC11546",,1018,"WGS","NCTC11546",,,,,,,,"2018-06-16T00:00:00Z",,"PRJEB6403","SAMEA104210786","GCA_900446705.1",,"UARG01000000",,"SC",,,,,,,44,2946791,39.26617,2869,2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.7,97.8,100,0.2,,"Good","2018-10-04T00:34:17.089Z","2018-10-04T00:34:17.089Z"
"1018.3","Capnocytophaga ochracea strain 490_CAPN",,1018,"WGS","490_CAPN",,,,,,,,"2015-07-10T00:00:00Z",,"PRJNA267549","SAMN03197683","GCF_001057035.1","SRR1655915","JVFB01000000",,"University of Washington",,"Illumina HiSeq","10x","ABYSS v. 1.3.5",,,72,2516120,39.61,2252,,,,,,"United States","USA: WA",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Whole genome sequencing of bacterial isolates over a 1-year period from a hospital's intensive care units.","collected_by:UW clinical laboratory",99.9,99.9,100,,,"Good","2016-01-17T16:14:31.788Z","2016-01-17T16:14:31.788Z"
"1018.83","Capnocytophaga ochracea strain NCTC11545",,1018,"WGS","NCTC11545","not available: to be reported later",,,,,"NCTC:11545",,"2018-06-16T00:00:00Z",,"PRJEB6403","SAMEA104210763","GCA_900460915.1",,"UAVS01000000",,"SC",,,,,,,12,2809526,39.279224,2664,2536,,"not available: to be reported later",,"1900/1982",,,,,,,,,,,,,,"host_health_state:not available: to be reported later",,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.5,98.2,,,,"Good","2019-07-15T20:28:19.538Z","2019-07-15T20:28:19.538Z"
"1019.3","Capnocytophaga sputigena strain KC1668",,1019,"Complete","KC1668",,,,,,,,"2017-09-14T00:00:00Z",,"PRJNA369395","SAMN06289148","GCA_002302395.1",,"CP022385",,"Centers for Disease Control and Prevention",,"PacBio; Illumina MiSeq","263.6x","Canu v. 1.4",1,,1,3074746,38.53,2843,2760,,,,"20-Feb-1982","United States","USA: Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,"select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations","sample_type:cell culture",99.3,99.2,100,,,"Good","2017-09-28T23:31:00.263Z","2017-09-28T23:31:00.263Z"
"1019.4","Capnocytophaga sputigena strain D1176",,1019,"Complete","D1176",,,,,,,,"2017-09-14T00:00:00Z",,"PRJNA369395","SAMN06754875","GCA_002302495.1",,"CP022379",,"Centers for Disease Control and Prevention",,"PacBio; Illumina MiSeq","737.4x","Canu v. 1.4",1,,1,2855148,38.78,2591,2501,,"blood",,"04-Oct-1974","Israel","Israel",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations","sample_type:cell culture",99.3,99.3,100,,,"Good","2017-09-28T23:31:23.314Z","2017-09-28T23:31:23.314Z"
"1019.49","Capnocytophaga sputigena strain NCTC11653",,1019,"WGS","NCTC11653",,,,,,,,"2018-06-16T00:00:00Z",,"PRJEB6403","SAMEA4063027","GCA_900446695.1",,"UAVP01000000",,"SC",,,,,,,11,3053418,38.472363,2801,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99,98.5,100,0.1,,"Good","2018-10-04T00:33:48.034Z","2018-10-04T00:33:48.034Z"
"1019.5","Capnocytophaga sputigena strain H4486",,1019,"Complete","H4486",,,,,,,,"2017-09-14T00:00:00Z",,"PRJNA369395","SAMN06289150","GCA_002302595.1",,"CP022383",,"Centers for Disease Control and Prevention",,"PacBio; Illumina MiSeq","503.7x","Canu v. 1.4",1,,1,3098616,38.65,2880,2758,,"Blood",,"16-Oct-2007",,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations","sample_type:cell culture",99.2,99.1,100,,,"Good","2017-09-28T23:32:21.095Z","2017-09-28T23:32:21.095Z"
"1019.50","Capnocytophaga sputigena strain NCTC11097",,1019,"Complete","NCTC11097","not available: to be reported later",,,,,"NCTC:11097",,"2018-12-19T00:00:00Z",,"PRJEB6403","SAMEA104200653","GCA_900638125.1",,"LR134489",,"SC",,,,,1,,1,2933908,38.733868,2726,2668,,"Blood culture",,"1974","United Kingdom","United Kingdom",,,,,,"Human, Homo sapiens",,,,,,"host_health_state:disease",,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99,99,,,,"Good","2019-02-01T14:11:59.356Z","2019-02-01T14:11:59.356Z"
"1019.6","Capnocytophaga sputigena strain H6490",,1019,"WGS","H6490",,,,,,,,"2017-09-19T00:00:00Z",,"PRJNA369395","SAMN06289151","GCA_002312885.1",,"NIBW00000000",,"Centers for Disease Control and Prevention",,"PacBio; Illumina MiSeq","343.5x","Canu v. 1.4",,,2,2963948,38.62,2706,2609,,"Abscess",,"08-Aug-2013","United States","USA: Indiana",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations","sample_type:cell culture",99.3,99.1,100,,,"Good","2017-09-29T01:43:31.299Z","2017-09-29T01:43:31.299Z"
"102.4","Polaribacter glomeratus strain ATCC 43844",,102,"WGS","ATCC 43844",,,,,,"ATCC:43844",,"2018-02-27T00:00:00Z",,"PRJNA357142","SAMN06133459","GCA_002954665.1",,"MSCM01000000",,"Atmosphere and Ocean Research Institute, The University of Tokyo",,"Illumina MiSeq","55.0x","Platanus v. 1.2.4",,,4,4064562,30.586456,3574,3417,,"Lake water",,,"Antarctica","Antarctica",,,,,,,,,,,,,,,,,,,,,,,,,"Whole genome sequence of Flavobacteria Polaribacter glomeratus ATCC 43844","sample_type:culture",98.7,98.2,100,,,"Good","2018-05-26T02:17:42.245Z","2018-05-26T02:17:42.245Z"
"102.8","Polaribacter glomeratus strain ACAM 171",,102,"WGS","ACAM 171",,,,,,"ACAM:171",,"2019-08-14T00:00:00Z",,"PRJNA516255","SAMN10785750","GCA_007997115.1",,"VORP01000000",,"University of Tasmania",,"Illumina HiSeq","168.0x","SPAdes v. 3.9",,,45,4029288,30.58982,3587,3427,,"Antarctic saline lagoon",,"1986","Antarctica","Antarctica:Vestfold Hills, Burton Lake",,,"0 m","5 m","temperature:-1 C",,,,,,,,,,,,,,,,,,,,"Polaribacter glomeratus ACAM 171(T)","collected_by:Peter D. Franzmann;identified_by:Peter D. Franzmann;sample_type:cell culture;biomaterial_provider:John Bowman",98.7,98.2,,,,"Good","2019-10-01T18:31:15.027Z","2019-10-01T18:31:15.027Z"
"1028743.3","Arenibacter hampyeongensis strain JCM 17788",,1028743,"WGS","JCM 17788",,,,,,,,"2018-01-30T00:00:00Z","29458460","PRJNA419854","SAMN08100003","GCA_002909255.1",,"PIOB01000000",,"Guangdong Institute of Microbiology",,"Illumina","300x","SPAdes v. 3.10.1",,,28,5431642,38.925964,4846,,,"tidal flat",,,"South Korea","South Korea: Hampyeong",,,,,,,,,,,,,,,,,,,,,,,,,"A multilocus sequence analysis scheme for characterization of bacteria in the genus Arenibacter","sample_type:cell culture",99.1,98.4,100,,,"Good","2018-05-25T21:10:35.250Z","2018-05-25T21:10:35.250Z"
"1028746.3","Gramella aestuarii strain BS12",,1028746,"WGS","BS12",,,,,,,,"2019-12-09T00:00:00Z",,"PRJNA552181","SAMN12179531",,,"VJVW01000000",,"Ocean University of China",,"Illumina","100.0x","SOAPdenovo v. JUN-2019",,,197,3486489,42.12891,3324,3197,,"tidal flat",,"not collected",,,,,,,,,,,,,,,,,,,,,,,,,,,"identify the taxonomic status strains","sample_type:cell culture",96.6,95.3,,,,"Good","2019-12-31T18:50:43.397Z","2019-12-31T18:50:43.397Z"
"1033900.4","Chryseobacterium sp. PMSZPI",,1033900,"WGS","PMSZPI",,,,,,,,"2017-12-12T00:00:00Z",,"PRJNA421227","SAMN08135438","GCA_002835665.1",,"PIZV01000000",,"Bhabha Atomic Research Centre",,"Illumina","215.0x","SPAdes v. 3.9.1",,,79,3824868,34.78,3477,3281,,"Uranium ore deposits soil",,"23-Aug-2012","India","India: West Khasi Hills",,,"814 m","15 cm","env_biome:Uranium ore deposits soil",,,,,,,,,,,,,,,,,,,,"Study of indigenous U-tolerant bacteria for exploring their potential in the bioremediation of metal-/radionuclide-contaminated environments","sample_type:Bacteria;biomaterial_provider:Rakshak Kumar;collected_by:Rakshak Kumar;identified_by:Rakshak Kumar",96.7,95.9,95.6,1.1,,"Good","2018-01-01T04:57:57.432Z","2018-01-01T04:57:57.432Z"
"1034807.16","Flavobacterium branchiophilum FL-15",,1034807,"Plasmid","FL-15",,,,,,,,"2016-07-25T00:00:00Z","21926215","PRJNA67123","SAMEA3138411","GCA_000253275.1",,"FQ859182",,"Institut National de la Recherche Agronomique (INRA)",,,,,1,,1,3408,33.48,4,5,,"diseased sheatfish (Silurus glanis)","isolated from a diseased sheatfish (Silurus glanis) in Hungary Members of the genus Flavobacterium occur in a variety of ecological niches and represent an interesting diversity of life styles",,"Hungary","Hungary Members",,,,,,,,,,,,,,,,,,,,,,,,,"Flavobacterium branchiophilum strain FL-15 has been isolated from a diseased sheatfish (Silurus glanis) in Hungary Members of the genus Flavobacterium occur in a variety of ecological niches and represent an interesting diversity of life styles. Flavobacterium branchiophilum is the main causative agent of bacterial gill disease, a severe condition affecting various cultured freshwater fish species worldwide, in particular salmonids in Canada and Japan.",,,,,,,,"2017-12-30T06:16:29.922Z","2017-12-30T06:16:29.922Z"
"1034807.5","Flavobacterium branchiophilum strain FL-15","Flavobacterium branchiophilum FL-15",55197,"Complete","FL-15",,,,,,,,"2011-09-06T00:00:00Z","21926215","PRJNA67123",,"GCA_000253275.1",,"FQ859183","NC_016001","Institut National de la Recherche Agronomique (INRA)|Genoscope","unfinished",,,,1,,1,3559884,32.86,3311,2867,,"diseased sheatfish (Silurus glanis)","isolated from a diseased sheatfish (Silurus glanis) in Hungary",,"Hungary","Hungary",,,,,,"Sheatfish, Silurus glanis",,,,,,,,,,,,,,"-",,,,,"'Flavobacterium branchiophilum strain FL-15 has been isolated from a diseased sheatfish (Silurus glanis) in HungaryMembers of the genus Flavobacterium occur in a variety of ecological niches and represent an interesting diversity of life styles. Flavobacterium branchiophilum is the main causative agent of bacterial gill disease, a severe condition affecting various cultured freshwater fish species worldwide, in particular salmonids in Canada and Japan.'",,99.1,98.2,100,,,"Good","2014-12-08T22:11:38.166Z","2015-03-16T03:17:09.594Z"
"1035193.3","Capnocytophaga sp. oral taxon 326 str. F0382","Capnocytophaga sp. oral taxon 326 str. F0382",1035193,"WGS","F0382",,,,,," ",,"2012-12-10T00:00:00Z",,"PRJNA67197","SAMN02436687","GCA_000318295.1",,"AMEU00000000","-","Washington University Genome Center","WGS","Illumina","509x","Velvet v. 1.1.04",,,242,3215823,38.5,3023,3232,,"oral cavity",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"This strain will be used for comparative genome analysis.",,99.2,98.8,100,,,"Good","2014-12-08T22:10:51.256Z","2015-03-16T03:17:09.594Z"
"1037377.3","Chryseobacterium viscerum strain 687B-08",,1037377,"WGS","687B-08",,,,,,,,"2018-01-25T00:00:00Z",,"PRJNA429981","SAMN08324238","GCA_002899945.1",,"PPEG01000000",,"Korea university",,"Illumina MiSeq","18.5x","SPAdes v. 3.10.1",,,703,5741890,35.872627,6009,5421,,"gills",,"2017-06","Spain","Spain",,,,,,"Rainbow trout",,,,,,,,,,,,,,,,,,,"Chryseobacterium viscerum 687B-08 Genome sequencing","sample_type:cell culture",97.8,94,100,12.3,,"Good","2018-05-25T20:10:36.051Z","2018-05-25T20:10:36.051Z"
"1037377.6","Chryseobacterium viscerum strain DPS",,1037377,"WGS","DPS",,,,,,,,"2019-09-16T00:00:00Z",,"PRJNA561623","SAMN12659179","GCA_008386485.1",,"VTPV01000000",,"Bellevue University",,"Illumina MiniSeq","22.0x","Spades de novo v. 3.10.0",,,35,5153060,36.17957,4801,,,"fresh water from natural spring",,"15-Jul-2019","USA","USA: Dripping Springs, Las Cruces, Organ Mountains, Las Cruces, NM",,,,,,,,,,,,,,,,,,,,,,,,,"Dripping Springs is located on the western side of New Mexico’s Organ Mountains. This is an initial microbial analysis of the spring water and surrounding microbial mat. Both soil-water and water samples showed a high level of microbial biodiversity, consistent with the secluded and pristine nature of the area.","sample_type:Purified culture;biomaterial_provider:Dr. John Kyndt, Bellevue University, 1000 Galvin Rd. South, Bellevue, NE, 68005, USA;collected_by:John Kyndt;identified_by:John Kyndt",97.8,96.7,,,,"Good","2019-10-02T08:02:33.100Z","2019-10-02T08:02:33.100Z"
"1038014.5","Aquimarina amphilecti strain DSM 25232",,1038014,"WGS","DSM 25232",,,,,,"DSM 25232",,"2016-10-29T00:00:00Z",,"PRJEB16824","SAMN04487910","GCA_900109375.1",,"FOAB01000000",,"DOE - JOINT GENOME INSTITUTE",,,,,,,16,5309872,31.963614,4722,4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aquimarina amphilecti DSM 25232",,98.7,97.9,,,,"Good","2019-07-18T18:10:23.037Z","2019-07-18T18:10:23.037Z"
"1038845.3","Flavobacterium rakeshii strain JCM 17928",,1038845,"WGS","JCM 17928",,,,,,,,"2019-12-11T00:00:00Z",,"PRJNA592759","SAMN13439368",,,"WOWP01000000",,"Inner Mongolia University",,"Illumina","265.0x","HGAP v. 4.0",,,64,3896955,37.59371,3629,3515,,"sediment",,"2012",,"India",,,,,,,,,,,,,,,,,,,,,,,,,"Draft genome sequence of Flavobacterium rakeshii JCM 17928","sample_type:cell culture",98.4,97.8,,,,"Good","2019-12-31T21:04:57.034Z","2019-12-31T21:04:57.034Z"
"1041826.3","Flavobacterium columnare ATCC 49512","Flavobacterium columnare ATCC 49512",1041826,"Complete","ATCC 49512",,,,,,"ATCC 49512F",,"2011-12-23T00:00:00Z",,"PRJNA67781","SAMN02603612","GCA_000240075.2",,"CP003222","NC_016510","Mississippi State University|University of Oklahoma Health Sciences Center","unfinished",,,,1,,1,3162865,31.44,2812,2646,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"'Purified genomic DNA obtained from ATCC 49512F. columnare is considered ubiquitous in the warmwater aquatic environment, and it is the causative agent of columnaris disease in fish. Columnaris disease is common throughout the world and infects most species of freshwater fish, including aquaculture species, wild fish populations, and ornamental fish. '",,98.7,97.9,100,1.2,,"Good","2014-12-08T22:11:38.190Z","2015-03-16T03:17:09.594Z"
"1042376.8","Ochrovirga pacifica strain S85",,1042376,"WGS","S85",,,,,,,,"2011-07-12T00:00:00Z","21994933","PRJNA67841","SAMN02470154","GCA_000220525.2",,"AFPK01000000",,"Korea Ocean Research and Development Institute",,"454 GS FLX","31x","GS De Novo v. 2.3",,,77,3384629,33.93422,2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good","2019-07-18T18:08:08.714Z","2019-07-18T18:08:08.714Z"
"104268.20","Tenacibaculum mesophilum strain DSM 13764",,104268,"Complete","DSM 13764",,,,"MLST.Tenacibaculum_spp.78",,"DSM:13764",,"2018-12-06T00:00:00Z",,"PRJNA493172","SAMN10130967","GCA_003867075.1",,"CP032544",,"Temasek Life Sciences Laboratory",,"PacBio RSII","208.0x","HGAP v. 4",1,,1,3344178,31.79887,3063,2985,,,"isolated T. singaporense","15-Jan-2016","Japan","Japan",,,,,,"sponge",,,,,,,,,,,,,,,,,,,"This is a Tenacibaculum mesophilum DSM 13764 available in strain collection that we sequenced for comparison with newly isolated T. singaporense.",,99.1,97.5,,,,"Good","2019-01-30T11:40:48.857Z","2019-01-30T11:40:48.857Z"
"104268.24","Tenacibaculum mesophilum strain DSM 13764",,104268,"Complete","DSM 13764",,,,"MLST.Tenacibaculum_spp.78",,"DSM:13764",,"2019-10-26T00:00:00Z",,"PRJNA576151","SAMN12930430","GCA_009362255.1",,"CP045192",,"Temasek Life Sciences Laboratory Limited",,"PacBio RSII; Illumina MiSeq","223.0x","Canu v. 1.8; Pilon v. 1.23",1,,1,3358580,31.784534,3072,2978,,,,"15-Jan-2016",,"Japan",,,,,,"sponge",,,,,,,,,,,,,,,,,,,"To sequence the chromosome of Tenacibaculum mesophilum strain DSM 13764","sample_type:Genomic DNA",99,98.2,,,,"Good","2019-11-25T06:42:39.884Z","2019-11-25T06:42:39.884Z"
"104268.25","Tenacibaculum mesophilum strain ECR",,104268,"WGS","ECR",,,,"MLST.Tenacibaculum_spp.49",,,,"2020-04-03T00:00:00Z",,"PRJNA488075","SAMN14383830","GCA_011952225.1",,"JAAQOW010000001,JAAQOW010000002",,"Stetson University",,"Illumina HiSeq; Illumina MiSeq; Oxford","90.0x","SPAdes v. 3.12.0",,,2,3405417,31.757755,3127,,,"seawater",,"05-July-2016","USA","USA: Falmouth, MA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Diversity Summer Program at Marine Biological Laboratory in Woods Hole, MA",,97.7,97.5,,,,"Good","2020-04-12T05:41:13.518Z","2020-04-12T05:41:13.518Z"
"104268.3","Tenacibaculum mesophilum strain HMG1",,104268,"WGS","HMG1",,,,"MLST.Tenacibaculum_spp.49",,,,"2015-06-15T00:00:00Z",,"PRJNA284870","SAMN03733602","GCF_001027945.1",,"LDOD01000000",,"Xiamen University",,"Illumina HiSeq","7.0x","SOAPdenovo v. April-2014",,,63,3419821,31.54,3216,,,"Deep sea sediments",,"2013-08-28",,,,,,,,,,,,,,,,,,,,,,"C",,,,,"This study aimed to discover valuable biological resources for biodegrading Malachite Green (MG)","sample_type:Cell culture",99.1,98.7,100,,,"Good","2016-01-17T16:07:16.430Z","2016-01-17T16:07:16.430Z"
"104268.6","Tenacibaculum mesophilum strain DSM 13764",,104268,"WGS","DSM 13764",,,,"MLST.Tenacibaculum_spp.78",,"DSM 13764",,"2016-12-02T00:00:00Z",,"PRJEB18199","SAMN05444344","GCF_900129475.1",,"FQVV00000000",,"DOE - JOINT GENOME INSTITUTE",,,,,,,14,3286619,31.61,3027,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tenacibaculum mesophilum DSM 13764",,99,98.8,100,,,"Good","2017-01-21T13:00:24.394Z","2017-01-21T13:00:24.394Z"
"104270.4","Tenacibaculum ovolyticum strain da5A-8",,104270,"WGS","da5A-8",,,,,,,,"2016-05-07T00:00:00Z",,"PRJDB4726","SAMD00050834","GCA_001641405.1",,"BDCW00000000",,"National Institute of Infectious Diseases",,"Illumina HiSeq 2500","120.6x","CLC Genomic Workbench v. 8.5",,,282,4148120,29.51,3969,,,,,"2013","Japan","Japan:Kochi, Muroto",,,,"344 m",,,,,,,,,,,,,,,,,,,,,"Draft genome sequence of a psychrophilic bacterium Tenacibaculum ovolyticum strain da5A-8 from deep seawater.",,98.3,97.5,100,,,"Good","2016-05-23T22:21:29.816Z","2016-05-23T22:21:29.816Z"
