Assembly accession,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
GCA_002354765.1,ASM235476v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06452587,,Uncultivated Flavobacteriaceae bacterium UBA2677 genome recovered from ERX556300,,,,,,Uncultivated genome recovered from an assembly of the ERX556300 metagenome.,2017-09-25T00:00:00Z,donovan.parks@gmail.com,,15.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/354/765/GCA_002354765.1_ASM235476v1,,,DEMF01000000,,Flavobacteriaceae bacterium UBA2677,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA2677,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951816.0,,Flavobacteriaceae bacterium UBA2677,Flavobacteriaceae bacterium UBA2677,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06452587,Flavobacteriaceae bacterium UBA2677,metagenomic assembly,2017/09/25,University of Queensland,73.06x,,Illumina,Illumina,,,1951816.0,,,UBA2677,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556300 metagenome,,1951816.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599351.,latest,DEMF00000000.1,,,True,Marine
GCA_002354835.1,ASM235483v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06452584,,Uncultivated Flavobacteriaceae bacterium UBA2674 genome recovered from ERX556300,,,,,,Uncultivated genome recovered from an assembly of the ERX556300 metagenome.,2017-09-25T00:00:00Z,donovan.parks@gmail.com,,67.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/354/835/GCA_002354835.1_ASM235483v1,,,DEMI01000000,,Flavobacteriaceae bacterium UBA2674,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA2674,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951815.0,,Flavobacteriaceae bacterium UBA2674,Flavobacteriaceae bacterium UBA2674,,,,,,,,,,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06452584,Flavobacteriaceae bacterium UBA2674,metagenomic assembly,2017/09/25,University of Queensland,105.91x,,Illumina,Illumina,,,1951815.0,,,UBA2674,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556300 metagenome,,1951815.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599351.,latest,DEMI00000000.1,,,True,Marine
GCA_002358695.1,ASM235869v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06456946,,Uncultivated Zunongwangia profunda UBA3396 genome recovered from ERX555922,,,,,,Uncultivated genome recovered from an assembly of the ERX555922 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,449.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/358/695/GCA_002358695.1_ASM235869v1,,,DEPI01000000,,Zunongwangia profunda strain UBA3396,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3396,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,398743.0,,Zunongwangia profunda,Zunongwangia profunda,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06456946,Zunongwangia profunda UBA3396,metagenomic assembly,2017/09/26,University of Queensland,39.11x,,Illumina,Illumina,,,398743.0,,,UBA3396,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX555922 metagenome,,398743.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR598960.,latest,DEPI00000000.1,,,True,Marine
GCA_002359055.1,ASM235905v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06454421,,Uncultivated Flavobacteriales bacterium UBA3376 genome recovered from ERX222794,,,,,,Uncultivated genome recovered from an assembly of the ERX222794 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,109.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/359/055/GCA_002359055.1_ASM235905v1,,,DEQC01000000,,Flavobacteriales bacterium UBA3376,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3376,,,,gut of vertebrate mammal,Parks,,,,,0.7.12-r1039,,gut metagenome,,,,University of Queensland,1950991.0,,Flavobacteriales bacterium UBA3376,Flavobacteriales bacterium UBA3376,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06454421,Flavobacteriales bacterium UBA3376,metagenomic assembly,2017/09/26,University of Queensland,23.81x,,Illumina,Illumina,,,1950991.0,,,UBA3376,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX222794 metagenome,,1950991.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the gut metagenome reads: ERR248260.,latest,DEQC00000000.1,,,True,Unclassified
GCA_002360095.1,ASM236009v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451100,,Uncultivated Flavobacteriaceae bacterium UBA2639 genome recovered from ERX556053,,,,,,Uncultivated genome recovered from an assembly of the ERX556053 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,187.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/360/095/GCA_002360095.1_ASM236009v1,,,DENR01000000,,Flavobacteriaceae bacterium UBA2639,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA2639,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951814.0,,Flavobacteriaceae bacterium UBA2639,Flavobacteriaceae bacterium UBA2639,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451100,Flavobacteriaceae bacterium UBA2639,metagenomic assembly,2017/09/26,University of Queensland,13.74x,,Illumina,Illumina,,,1951814.0,,,UBA2639,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556053 metagenome,,1951814.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599047.,latest,DENR00000000.1,,,True,Marine
GCA_002360395.1,ASM236039v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451634,,Uncultivated Leeuwenhoekiella blandensis UBA3368 genome recovered from ERX552309,,,,,,Uncultivated genome recovered from an assembly of the ERX552309 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,126.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/360/395/GCA_002360395.1_ASM236039v1,,,DEQK01000000,,Leeuwenhoekiella blandensis strain UBA3368,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3368,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,360293.0,,Leeuwenhoekiella blandensis,Leeuwenhoekiella blandensis,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451634,Leeuwenhoekiella blandensis UBA3368,metagenomic assembly,2017/09/26,University of Queensland,11.56x,,Illumina,Illumina,,,360293.0,,,UBA3368,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX552309 metagenome,,360293.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR594414.,latest,DEQK00000000.1,,,True,Marine
GCA_002360635.1,ASM236063v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06454139,,Uncultivated Flavobacteriaceae bacterium UBA3356 genome recovered from ERX552306,,,,,,Uncultivated genome recovered from an assembly of the ERX552306 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,12.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/360/635/GCA_002360635.1_ASM236063v1,,,DEQW01000000,,Flavobacteriaceae bacterium UBA3356,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3356,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951828.0,,Flavobacteriaceae bacterium UBA3356,Flavobacteriaceae bacterium UBA3356,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06454139,Flavobacteriaceae bacterium UBA3356,metagenomic assembly,2017/09/26,University of Queensland,23.35x,,Illumina,Illumina,,,1951828.0,,,UBA3356,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX552306 metagenome,,1951828.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR594356.,latest,DEQW00000000.1,,,True,Marine
GCA_002360925.1,ASM236092v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06453911,,Uncultivated Flavobacteriaceae bacterium UBA3339 genome recovered from SRX836008,,,,,,Uncultivated genome recovered from an assembly of the SRX836008 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,16.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/360/925/GCA_002360925.1_ASM236092v1,,,DERN01000000,,Flavobacteriaceae bacterium UBA3339,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA3339,,United States,,metal,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1951827.0,,Flavobacteriaceae bacterium UBA3339,Flavobacteriaceae bacterium UBA3339,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06453911,Flavobacteriaceae bacterium UBA3339,metagenomic assembly,2017/09/26,University of Queensland,22.32x,,Illumina,Illumina,,,1951827.0,,,UBA3339,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX836008 metagenome,,1951827.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1748606.,latest,DERN00000000.1,,,True,Non_marine
GCA_002362375.1,ASM236237v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451354,,Uncultivated Maribacter sp. UBA3344 genome recovered from ERX552300,,,,,,Uncultivated genome recovered from an assembly of the ERX552300 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,31.0,,,,,,,,,,,,,,,,,,true,,unverified source organism; derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/362/375/GCA_002362375.1_ASM236237v1,,,DERI01000000,,Maribacter sp. UBA3344,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3344,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1946803.0,,Maribacter sp. UBA3344,Maribacter sp. UBA3344,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451354,Maribacter sp. UBA3344,metagenomic assembly,2017/09/26,University of Queensland,60x,,Illumina,Illumina,,,1946803.0,,,UBA3344,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX552300 metagenome,,1946803.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR594331.,latest,DERI00000000.1,,,True,Marine
GCA_002362875.1,ASM236287v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06457150,,Uncultivated Empedobacter sp. UBA3239 genome recovered from SRX822548,,,,,,Uncultivated genome recovered from an assembly of the SRX822548 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,92.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/362/875/GCA_002362875.1_ASM236287v1,,,DEVJ01000000,,Empedobacter sp. UBA3239,,Full,WGS,,USA:New York City,New York City,USA,,,,,,,,,,,,,,,,,,,,,,,,UBA3239,,United States,,metal,Parks,,,,,0.7.12-r1039,,terrestrial metagenome,,,,University of Queensland,1946434.0,,Empedobacter sp. UBA3239,Empedobacter sp. UBA3239,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06457150,Empedobacter sp. UBA3239,metagenomic assembly,2017/09/26,University of Queensland,23.67x,,Illumina,Illumina,,,1946434.0,,,UBA3239,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in SRX822548 metagenome,,1946434.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the terrestrial metagenome reads: SRR1749165.,latest,DEVJ00000000.1,,,True,Non_marine
GCA_002363835.1,ASM236383v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06454825,,Uncultivated Flavobacteriaceae bacterium UBA3200 genome recovered from ERX556314,,,,,,Uncultivated genome recovered from an assembly of the ERX556314 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,174.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/363/835/GCA_002363835.1_ASM236383v1,,,DEWW01000000,,Flavobacteriaceae bacterium UBA3200,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3200,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951826.0,,Flavobacteriaceae bacterium UBA3200,Flavobacteriaceae bacterium UBA3200,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06454825,Flavobacteriaceae bacterium UBA3200,metagenomic assembly,2017/09/26,University of Queensland,12.64x,,Illumina,Illumina,,,1951826.0,,,UBA3200,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556314 metagenome,,1951826.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599352.,latest,DEWW00000000.1,,,True,Marine
GCA_002363855.1,ASM236385v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451762,,Uncultivated Arenibacter sp. UBA3199 genome recovered from ERX556314,,,,,,Uncultivated genome recovered from an assembly of the ERX556314 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,102.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/363/855/GCA_002363855.1_ASM236385v1,,,DEWX01000000,,Arenibacter sp. UBA3199,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3199,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1946054.0,,Arenibacter sp. UBA3199,Arenibacter sp. UBA3199,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451762,Arenibacter sp. UBA3199,metagenomic assembly,2017/09/26,University of Queensland,24.6x,,Illumina,Illumina,,,1946054.0,,,UBA3199,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556314 metagenome,,1946054.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599352.,latest,DEWX00000000.1,,,True,Marine
GCA_002363875.1,ASM236387v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06451768,,Uncultivated Flavobacteriaceae bacterium UBA3197 genome recovered from ERX556314,,,,,,Uncultivated genome recovered from an assembly of the ERX556314 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,22.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/363/875/GCA_002363875.1_ASM236387v1,,,DEWZ01000000,,Flavobacteriaceae bacterium UBA3197,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3197,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951825.0,,Flavobacteriaceae bacterium UBA3197,Flavobacteriaceae bacterium UBA3197,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06451768,Flavobacteriaceae bacterium UBA3197,metagenomic assembly,2017/09/26,University of Queensland,48.55x,,Illumina,Illumina,,,1951825.0,,,UBA3197,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556314 metagenome,,1951825.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599352.,latest,DEWZ00000000.1,,,True,Marine
GCA_002364135.1,ASM236413v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06454266,,Uncultivated Vitellibacter sp. UBA3185 genome recovered from ERX556313,,,,,,Uncultivated genome recovered from an assembly of the ERX556313 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,71.0,,,,,,,,,,,,,,,,,,true,,unverified source organism; derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/364/135/GCA_002364135.1_ASM236413v1,,,DEXL01000000,,Aequorivita sp. UBA3185,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3185,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1947774.0,,Aequorivita sp. UBA3185,Aequorivita sp. UBA3185,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06454266,Vitellibacter sp. UBA3185,metagenomic assembly,2017/09/26,University of Queensland,8.84x,,Illumina,Illumina,,,1947774.0,,,UBA3185,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556313 metagenome,,1947774.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599349.,latest,DEXL00000000.1,,,True,Marine
GCA_002364215.1,ASM236421v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06454271,,Uncultivated Vitellibacter sp. UBA3180 genome recovered from ERX556312,,,,,,Uncultivated genome recovered from an assembly of the ERX556312 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,18.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/364/215/GCA_002364215.1_ASM236421v1,,,DEXQ01000000,,Aequorivita sp. UBA3180,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3180,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1947773.0,,Aequorivita sp. UBA3180,Aequorivita sp. UBA3180,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06454271,Vitellibacter sp. UBA3180,metagenomic assembly,2017/09/26,University of Queensland,17.79x,,Illumina,Illumina,,,1947773.0,,,UBA3180,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556312 metagenome,,1947773.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599353.,latest,DEXQ00000000.1,,,True,Marine
GCA_002364245.1,ASM236424v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06450931,,Uncultivated Flavobacteriaceae bacterium UBA3179 genome recovered from ERX556318,,,,,,Uncultivated genome recovered from an assembly of the ERX556318 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,53.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/364/245/GCA_002364245.1_ASM236424v1,,,DEXR01000000,,Flavobacteriaceae bacterium UBA3179,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3179,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1951824.0,,Flavobacteriaceae bacterium UBA3179,Flavobacteriaceae bacterium UBA3179,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06450931,Flavobacteriaceae bacterium UBA3179,metagenomic assembly,2017/09/26,University of Queensland,14.86x,,Illumina,Illumina,,,1951824.0,,,UBA3179,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556318 metagenome,,1951824.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599364.,latest,DEXR00000000.1,,,True,Marine
GCA_002364255.1,ASM236425v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06450930,,Uncultivated Arenibacter sp. UBA3178 genome recovered from ERX556318,,,,,,Uncultivated genome recovered from an assembly of the ERX556318 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,35.0,,,,,,,,,,,,,,,,,,true,,unverified source organism; derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/364/255/GCA_002364255.1_ASM236425v1,,,DEXS01000000,,Arenibacter sp. UBA3178,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3178,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1946053.0,,Arenibacter sp. UBA3178,Arenibacter sp. UBA3178,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06450930,Arenibacter sp. UBA3178,metagenomic assembly,2017/09/26,University of Queensland,17.98x,,Illumina,Illumina,,,1946053.0,,,UBA3178,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556318 metagenome,,1946053.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599364.,latest,DEXS00000000.1,,,True,Marine
GCA_002364325.1,ASM236432v1,,,,,,Scaffold,CLC de novo assembler v. 4.4.1,,PRJNA348753,SAMN06450923,,Uncultivated Gillisia sp. UBA3175 genome recovered from ERX556318,,,,,,Uncultivated genome recovered from an assembly of the ERX556318 metagenome.,2017-09-26T00:00:00Z,donovan.parks@gmail.com,,8.0,,,,,,,,,,,,,,,,,,true,,derived from metagenome,,,Donovan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/364/325/GCA_002364325.1_ASM236432v1,,,DEXV01000000,,Gillisia sp. UBA3175,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA3175,,,,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",Parks,,,,,0.7.12-r1039,,marine metagenome,,,,University of Queensland,1946569.0,,Gillisia sp. UBA3175,Gillisia sp. UBA3175,,,,,,,,,28894102,2017-02-27T00:00:00.000,,,,,,,Major,,,SAMN06450923,Gillisia sp. UBA3175,metagenomic assembly,2017/09/26,University of Queensland,30.87x,,Illumina,Illumina,,,1946569.0,,,UBA3175,,,"Microbe, viral or environmental",Microbe.1.0,University of Queensland,Genome binned from sequencing reads available in ERX556318 metagenome,,1946569.0,,,,,,,,This BioSample is a metagenomic assembly obtained from the marine metagenome reads: ERR599364.,latest,DEXV00000000.1,,,True,Marine
