assembly_accession,strain,finishing strategy (depth of coverage),biotic_relationship,geo_loc_name,host,collected_by,host_disease,isolation_source,sample_name,isolation-source,sample_type,FDA CVM ID,culture_collection,assembly_method,collection_date,env_feature,synonym,Strain,SUBJECT_ID,Alias,type-material,misc_param,collection date,Isolation Site,Isolation source,country,note,GOLD Stamp ID,investigation_type,culture-collection,lat_lon,alt_elev,locus_tag_prefix,nat-host,assembly_method_version,env_material,model,sample_description,Sample Description,ArrayExpress-STRAIN_OR_LINE,ENA checklist,project_type,estimated_size,Temperature Optimum,isol_growth_condt,Motility,feature,project_name,assembly,num_replicons,isolate,depth,env_biome,altitude,ref_biomaterial,package,geographic location,ArrayExpress-StrainOrLine,ArrayExpress-Phenotype,ArrayExpress-SPECIES,INSDC center alias,geo-loc-name,environment,host_sex,elev,PublicAccession,completeness_estimated,geographic location (country and/or sea),latitude and longitude,specific_host,ArrayExpress-Species,ENA-FIRST-PUBLIC,INSDC center name,specific host,Body Sample Site,pH,biome,biomaterial_provider,isolate_name_alias,contamination_estimated,host scientific name,anonymized_name,ENA-LAST-UPDATE,INSDC first public,Cell Shape,BioSampleModel,environmental_sample,material,identified_by,host health state,INSDC last update,Diseases,strain_name_alias,genome_coverage,INSDC status,host taxid,isolation source,Gram Staining,Temperature Range,Sporulation,sequencing_meth,Historical Monobactam Produced,identification method,supplier_name,SRA accession,host_disease_outcome,Unique Monobactam Clusters Identified,ProjectAccession,Sample Name,Type Strain,Phenotypes,Gene Calling Method,temp,Title,investigation type,Host,rel_to_oxygen,host_age,Species,mapping_method,serovar,sop,Isolation Comments,finishing_strategy,Genus,mapping_method_version,environment (biome),attribute_package,metagenome_source,environment (feature),trophic_level,metagenomic,environment (material),Funding Program,quality_assessment_method,quality_assessment_method_version,geographic location (latitude),source_mat_id,host_tissue_sampled,geographic location (longitude),Host Name,subsrc_note,Host Health,value,plant-associated environmental package,project name,sequencing method,Body Sample SubSite
GCA_000211855.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000212355.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000213295.2,F0087,"Level 2, High-Quality Draft157",,,,,,,,oral cavity,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,,,,,,,,,,,,Reference Genome,6749000,,,,human-associated habitat ENVO:00009003,Capnocytophaga sp. oral taxon 329 F0087,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-267,,,,,,,,,454,
GCA_000224085.1,DSM 13258,,free living,Germany,,,,,,Seawater sediment suspension containing hexadecane,,,,,,,,,,,type strain of Muricauda ruestringensis,,,Seawater sediment suspension containing hexadecane; Germany,,,,Gi05354,bacteria_archaea,,,,,,,,,,,,,,,30C,11760940,,not provided; submitted under MIGS 2.1,Muricauda ruestringensis B1,,1,,,,,DSM 13258,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,,,,,,,facultative,,,,,,isolated by U. Maschmann,,,,,,,,heterotroph,,,,,,,,,,,,,,,,,
GCA_000243275.1,DSM 2801,,free living,Germany,,,,,,,,,,,,,,,,,type strain of Myroides odoratus,,,,,,,Gi04621,bacteria_archaea,DSM:2801,,,,,,,,,,,,,,,11760940,Nonmotile,not provided; submitted under MIGS 2.1,Myroides odoratus DSM 2801,,1,,,,,DSM 2801,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,,,,,,,anaerobe,,,,,,isolated by M Stutzer in 1926,,,,,,,,heterotroph,,,,,,,,,,,,,,,,,
GCA_000265385.1,DSM 14238,,free living,Germany,,,,,,sea water,,,,,,,,,,,type strain of Aequorivita sublithincola,,,sea water from Vestfold Hills Antarctica,,,,Gi04179,bacteria_archaea,DSM:14238,68.582 S 77.966 E,,,,,,,,,,,,,,12361255,Nonmotile,not provided; submitted under MIGS 2.1,Aequorivita sublithincola DSM 14238,,1,,,,,DSM 14238,,,,,,,,Marine,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,Rod-shaped,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,Psychrotolerant,,,,,,,,,,,Yes,,,,,,,obligate aerobe,,,,,,,,,,,,,,chemoheterotroph,,,,,,,,,,,,,,,,,
GCA_000265465.1,DSM 15997,,free living,,,,,,,,,,,,,,,,,,type strain of Ornithobacterium rhinotracheale,,,,Turkey,,,Gi04609,bacteria_archaea,DSM:15997,68.582 S 77.966 E,,,,,,,,,,,,,,8123560,,not provided; submitted under MIGS 2.1,Ornithobacterium rhinotracheale DSM 15997,,1,,,,,DSM 15997,,,,,,,United Kingdom,Host,,,,,,,,,,,,Airways,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,,Mesophile,,,,,,,,,,,Yes,,,,,,Turkey,microanaerobe,,,,,,,,,,,,,,chemoheterotroph,,,,,,,,,,,,,,,,,Respiratory tract
GCA_000271925.1,F0487,"Level 2, High-Quality Draft32x;62",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,68.582 S 77.966 E,,,,,,,,,,,Reference Genome,2590000,,8123560,,human-associated habitat ENVO:00009003,Capnocytophaga sp. oral taxon 412 F0487,Celera Assembler v. 6.1,1,,,,,DSM 15997,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-816,,,,,,,,,Illumina HiSeq 2000,
GCA_000277585.1,Holt 25,"Level 2, High-Quality Draft10x;42",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,68.582 S 77.966 E,,,,,,,,,,,Reference Genome,2654000,,8123560,,human-associated habitat ENVO:00009003,Capnocytophaga ochracea Holt 25,CA v6.1,1,,,,,DSM 15997,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,ATCC 33596,,,,,,,,,Illumina HiSeq 2000,
GCA_000277665.1,F0486,"Level 2, High-Quality Draft11x;38",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,68.582 S 77.966 E,,,,,,,,,,,Reference Genome,2546000,,8123560,,human-associated habitat ENVO:00009003,Capnocytophaga sp. oral taxon 335 F0486,CA v6.1,1,,,,,DSM 15997,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-815,,,,,,,,,Illumina HiSeq 2000,
GCA_000282055.1,CF136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000282115.1,CF314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000293175.1,CM59,"Level 2, High-Quality Draft33x;75",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,,,,,,,,,,,,Reference Genome,2785000,,,,human-associated habitat ENVO:00009003,Capnocytophaga sp. CM59,CA v6.1,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-763,,,,,,,,,Illumina HiSeq 2000,
GCA_000348685.1,AK20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000374405.1,DSM 16469,,,,pigeons,,,,,,,,,,,,,,,,type strain of Riemerella columbina,,,pigeon palatine cleft,,Germany,,Gi11855,,DSM:16469,,,,,,,,,,,,,,,,,,Riemerella columbina DSM 16469,,,,,,,DSM 16469,,,,,,,,Host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gram-,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associated with respiratory disease in pigeons,,,,,
GCA_000379185.1,E6447,,free living,USA,,,,,,,,,,,,,,,,,,,,,,,,Gi04008,bacteria_archaea,,,,,,,,,,,,,,,,2915017,,not provided; submitted under MIGS 2.1,Capnocytophaga cynodegmi E6447,,,,,,,DSM 19736,,,,,,,,Host,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,None,,,,,Mouth of a dog; USA,Gram-,,,,,,,,,,,,Yes,,,,,,,microaerophilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000383355.1,SCGC AAA160-P02,,free living,,,,,,,,,,,,9/16/2009 12:00:00 AM,,,,,,,,,Gulf of Maine,,Atlantic Ocean,single cell isolate,Gi0020092,,,43.84 N 69.64 W,,,,,,,,,,,,,,2915017,,,Flavobacterium sp. SCGC AAA160-P02,,,,,,,DSM 19736,,,,,,,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gram-,,,,,,,,,,,,,,,,,,,microaerophilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000401415.1,ATCC 13253,,,,,,,,,,,,,,,,,,,,type strain of Elizabethkingia meningoseptica,,,,,,ATCC 13253 = NBRC 12535,,,ATCC:13253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000419685.1,DSM 19726,,free living,,,,,,,,,,,,,,,,,,type strain of Flavobacterium antarcticum,,,soil sample of a penguin habitat near the King Sejong Station on King George Island,,Antarctica,,Gi11491,,DSM:19726,61.988 S 58.019 W,,,,,,,,,,,,,21.2 C,15774636,Nonmotile,,Flavobacterium antarcticum DSM 19726,,,,,,,DSM 19726,,,,,,,,Soil,,,,,,,,,,,,,,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Psychrotolerant,,,,,,,,,,,Yes,,,,,,,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000422365.1,DSM 18436,,,,,,,,,,,,,,27-Jul-2005,,,,,,type strain of Mesoflavibacter zeaxanthinifaciens,,,Shallow seawater sample,,Japan,,Gi11673,,DSM:18436,35.30038 N 139.4999 E,,,,,,,,,,,,,35-37 C,17276025,Motile,,Mesoflavibacter zeaxanthinifaciens DSM 18436,,,,,,,DSM 18436,,,,,,,,Sea water; Aquatic; Marine,,,,,,,,,,,,,5.5-11.0,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,Nonsporulating,,,,,,,,,,Yes,Gliding; Catalase positive,,,,,,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000424645.1,JM1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gi13912,,,,,,,,,,,,,,,,,,,,Gillisia sp. JM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000425305.1,DSM 12212,,,,,,,,,,,,,,,,,,,,type strain of Psychroserpens burtonensis,,,Pycnocline or antarctic lake,,Antarctica,,Gi11848,,DSM:12212,68.6332 S 78.1000 E,,,,,,,,,,,,,10-12 C,9226898,Nonmotile,,Psychroserpens burtonensis DSM 12212,,,,,,,DSM 12212,,,,,,,,Antarctic; Lake; Fresh water; Aquatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gram-,Psychrophile,,,,,,,,,,,Yes,Catalase positive,,,,,,aerobe,,,,,,,,,,,,,,chemoheterotroph,,,,,,,,,,,,,,,,,
GCA_000425425.1,DSM 17708,,,,,,,,,,,,,,,,,,,,type strain of Flavobacterium daejeonense,,,Greenhouse soils,,South Korea,,Gi11493,,DSM:17708,36.35 N 127.38 E,,,,,,,,,,,,,,16825643,,,Flavobacterium daejeonense DSM 17708,,,,,,,DSM 17708,,,,,,,,Soil,,,,,,,,,,,,,6-8,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,Catalase positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000425445.1,DSM 15936,,,,Aporrectodea caliginosa,,,,,,,,,,,,,,,,type strain of Flavobacterium denitrificans,,,Gut of earthworm (Aporrectodea caliginosa),,Germany,,Gi11494,,DSM:15936,49.951 N 11.570 E,,,,,,,,,,,,,25 C,15879265,Motile,,Flavobacterium denitrificans DSM 15936,,,,,,,DSM 15936,,,,,,,,Host; Soil,,,,,,,,,,,,,7,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,,,,,,,facultative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000425485.1,DSM 22377,,,,,,,,,,,,,,,,,,,,type strain of Flavobacterium tegetincola,,,Cyanobacterial mat from a marine salinity meromictic lake,,Antarctica,,Gi11507,,DSM:22377,,,,,,,,,,,,,,20 C,10843045,Motile,,Flavobacterium tegetincola DSM 22377,,,,,,,DSM 22377,,,,,,,,Marine; Mat; Antarctic; Fresh water; Aquatic,,,,,,,,,,,,,,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Psychrotrophic,,,,,,,,,,,Yes,Gliding; Catalase positive,,,,,,aerobe,,,,,,,,,,,,,,chemoheterotroph,,,,,,,,,,,,,,,,,
GCA_000425645.1,DSM 17032,,,,,,,,,,,,,,,,,,,,type strain of Gaetbulibacter saemankumensis,,,Tidal flat sediment,,South Korea,,Gi11517,,DSM:17032,,,,,,,,,,,,,,25-30 C,16166676,Motile,,Gaetbulibacter saemankumensis DSM 17032,,,,,,,DSM 17032,,,,,,,,Sediment,,,,,,,,,,,,,7-8,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,Nonsporulating,,,,,,,,,,Yes,Gliding; Catalase positive,,,,,,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000430825.1,DSM 19388,,,,,,,,,,,,,,,,,,,,type strain of Chryseobacterium daeguense,,,Wastewater of a textile dye works,,South Korea,,Gi11261,,DSM:19388,35.879314 N 128.60281 E,,,,,,,,,,,,,30-37 C,17551058,Nonmotile,,Chryseobacterium daeguense DSM 19388,,,,,,,DSM 19388,,,,,,,,Wastewater,,,,,,,,,,,,,5.5-9.0,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,Catalase positive,,,,,,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000482305.1,UNC8MFCol,,,,,,,,,,,,,,,,,,,,,,,,,,,Gi0045600,,,,,,,,,,,,,,,,,,,,Chryseobacterium sp. UNC8MFCol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000518405.1,47A_GOM-205m,,,,,,,,,,,,,,,,,,,,,,,,,,,Gi0042597,bacteria_archaea,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,Tenacibaculum sp. 47A_GOM-205m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,,,,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000518485.1,CAM030,,,,,,,,,,,,,,,,,,,,type strain of Olleya marilimosa,,,,,,,Gi22676,bacteria_archaea,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,Olleya marilimosa CAM030,,,,,,,ACAM 1065,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,,,WGS,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000518505.1,VCSA23,,,,,,,,,,,,,,,,,,,,,,,,,,,Gi22680,bacteria_archaea,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,Olleya sp. VCSA23,,,,,,,ACAM 1065,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,,,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000518525.1,VCSM12,,,,,,,,,,,,,,,,,,,,,,,,,,,Gi22681,bacteria_archaea,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,Olleya sp. VCSM12,,,,,,,ACAM 1065,,,,,,,,,,,,,,,,,,,,,,not provided; submitted under MIGS 2.1,,,,,,,,,MIGS.ba,,not provided; submitted under MIGS 2.1,,,,,,,,,,Gram-,,,WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000621125.1,DSM 21422,,,,,,,,,,,,,,,,,,,,type strain of Maribacter antarcticus,,,Green alga (Pyramimonas gelidicola),,Southern Ocean,,Gi11637,bacteria_archaea,DSM:21422,,,,,,,,,,,,,,10 C,19502334,Nonmotile,,Maribacter antarcticus DSM 21422,vpAllpaths v. r46652,,,,,,DSM 21422,,,,,,,,Marine,,,,,,,,,,,,,7-9,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Psychrophile,,WGS,,,,,,,,,Yes,Catalase positive,Prodigal 2.5,,,,,aerobe,,,,,,,"Level 1, Standard Draft",,,,,,,,,,DOE-CSP 2012,,,,,,,Pyramimonas gelidicola,,,,,,,
