,Genome,BGC_full,Class,BiG-SCAPE class,Product Prediction,Clan,Family,Pfam_vector,Pfam_vector_length,Pfam_descriptor
9581,GCA_000186265.1,GCA_000186265.1_contig1.region004,RiPPs,Others,bacteriocin.acyl_amino_acids,9045,8441,['PF04397.15 PF00072.24 PF06580.13 PF07494.11 PF12158.8 PF01325.19 PF02742.15 PF01297.17 PF00005.27 PF00950.17 PF00950.17 PF04397.15 PF00072.24 PF14501.6 PF06580.13 PF02687.21 PF12704.7 PF00005.27 PF16576.5 PF02321.18 PF02321.18 PF13181.6 PF13181.6 PF09601.10 PF08239.11 PF01565.23 PF16153.5 PF13460.6 PF14062.6 PF12762.7 PF12158.8 PF04116.13 PF08239.11 PF01522.21 PF08239.11 PF13302.7 PF02517.16 PF04397.15 PF00144.24 PF12762.7 PF12833.7 PF05114.13 PF00144.24'],43,Na_H_Exchanger;Usp;MutS_V;UDG;Response_reg;NMT1;PNP_UDP_1;SUI1;DUF1572;2OG-FeII_Oxy;DIOX_N;E1_dh;Transket_pyr;Transketolase_C;Lipocalin_4;Gly-zipper_YMGG;OmpA;NAD_binding_8;Methyltransf_25;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;TerC;Ribosomal_S30AE;Peripla_BP_3;LacI;CarbopepD_reg_2;Plug;TonB_dep_Rec;Trehalase;SSF;Gly_kinase;dCMP_cyt_deam_1;MS_channel;Beta_helix
8302,GCA_000186265.1,GCA_000186265.1_contig1.region004,Others,Others,bacteriocin.acyl_amino_acids,4095,8441,['PF04397.15 PF00072.24 PF06580.13 PF07494.11 PF12158.8 PF01325.19 PF02742.15 PF01297.17 PF00005.27 PF00950.17 PF00950.17 PF04397.15 PF00072.24 PF14501.6 PF06580.13 PF02687.21 PF12704.7 PF00005.27 PF16576.5 PF02321.18 PF02321.18 PF13181.6 PF13181.6 PF09601.10 PF08239.11 PF01565.23 PF16153.5 PF13460.6 PF14062.6 PF12762.7 PF12158.8 PF04116.13 PF08239.11 PF01522.21 PF08239.11 PF13302.7 PF02517.16 PF04397.15 PF00144.24 PF12762.7 PF12833.7 PF05114.13 PF00144.24'],43,Na_H_Exchanger;Usp;MutS_V;UDG;Response_reg;NMT1;PNP_UDP_1;SUI1;DUF1572;2OG-FeII_Oxy;DIOX_N;E1_dh;Transket_pyr;Transketolase_C;Lipocalin_4;Gly-zipper_YMGG;OmpA;NAD_binding_8;Methyltransf_25;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;TerC;Ribosomal_S30AE;Peripla_BP_3;LacI;CarbopepD_reg_2;Plug;TonB_dep_Rec;Trehalase;SSF;Gly_kinase;dCMP_cyt_deam_1;MS_channel;Beta_helix
7382,GCA_000212355.1,GCA_000212355.1_contig1.region003,Others,Others,T1PKS.hglE-KS.PUFA,4095,2332,['PF10079.9 PF00588.19 PF01103.23 PF00557.24 PF00535.26 PF01370.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF02780.20 PF02779.24 PF00456.21 PF00156.27'],19,DUF393;MutS_V;UDG;NMT1;PP_kinase_C;PP_kinase_C_1;PP_kinase;PP_kinase_N;PNP_UDP_1;SUI1;2OG-FeII_Oxy;DIOX_N;NAD_binding_10;Amino_oxidase;MTS;E1_dh;Transket_pyr;Transketolase_C;DUF1328;Lipocalin_4;Gly-zipper_Omp;OmpA;FAD_binding_3;Methyltransf_31;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;HATPase_c;DNA_gyraseB;Toprim;DNA_topoisoIV;CHU_C;CHU_C;TsaE
4691,GCA_000212355.1,GCA_000212355.1_contig1.region003,PKSother,Others,T1PKS.hglE-KS.PUFA,1848,1890,['PF10079.9 PF00588.19 PF01103.23 PF00557.24 PF00535.26 PF01370.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF02780.20 PF02779.24 PF00456.21 PF00156.27'],19,DUF393;MutS_V;UDG;NMT1;PP_kinase_C;PP_kinase_C_1;PP_kinase;PP_kinase_N;PNP_UDP_1;SUI1;2OG-FeII_Oxy;DIOX_N;NAD_binding_10;Amino_oxidase;MTS;E1_dh;Transket_pyr;Transketolase_C;DUF1328;Lipocalin_4;Gly-zipper_Omp;OmpA;FAD_binding_3;Methyltransf_31;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;HATPase_c;DNA_gyraseB;Toprim;DNA_topoisoIV;CHU_C;CHU_C;TsaE
7308,GCA_000212355.1,GCA_000212355.1_contig1.region004,Others,Others,T3PKS.arylpolyene,4095,2035,['PF10079.9 PF00588.19 PF01103.23 PF00557.24 PF00535.26 PF01370.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF02780.20 PF02779.24 PF00456.21 PF00156.27'],19,DUF393;MutS_V;UDG;NMT1;PP_kinase_C;PP_kinase_C_1;PP_kinase;PP_kinase_N;PNP_UDP_1;SUI1;2OG-FeII_Oxy;DIOX_N;NAD_binding_10;Amino_oxidase;MTS;E1_dh;Transket_pyr;Transketolase_C;DUF1328;Lipocalin_4;Gly-zipper_Omp;OmpA;FAD_binding_3;Methyltransf_31;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;HATPase_c;DNA_gyraseB;Toprim;DNA_topoisoIV;CHU_C;CHU_C;TsaE
4709,GCA_000212355.1,GCA_000212355.1_contig1.region004,PKSother,Others,T3PKS.arylpolyene,1848,2035,['PF10079.9 PF00588.19 PF01103.23 PF00557.24 PF00535.26 PF01370.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF02780.20 PF02779.24 PF00456.21 PF00156.27'],19,DUF393;MutS_V;UDG;NMT1;PP_kinase_C;PP_kinase_C_1;PP_kinase;PP_kinase_N;PNP_UDP_1;SUI1;2OG-FeII_Oxy;DIOX_N;NAD_binding_10;Amino_oxidase;MTS;E1_dh;Transket_pyr;Transketolase_C;DUF1328;Lipocalin_4;Gly-zipper_Omp;OmpA;FAD_binding_3;Methyltransf_31;Chal_sti_synt_N;Chal_sti_synt_C;adh_short_C2;FabA;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;HATPase_c;DNA_gyraseB;Toprim;DNA_topoisoIV;CHU_C;CHU_C;TsaE
1759,GCA_000218485.2,GCA_000218485.2_contig116.region001,Terpene,Others,terpene.siderophore,6097,1896,['PF00282.19 PF13434.6 PF07690.16 PF13523.6 PF04183.12 PF06276.12 PF13523.6 PF04183.12 PF06276.12 PF07786.12 PF00378.20 PF12833.7 PF13715.6 PF07715.15 PF14298.6 PF03929.16 PF00581.20 PF00581.20 PF05834.12 PF04116.13 PF00494.19 PF01593.24 PF13411.6 PF06167.12 PF04055.21'],25,PAAR_motif;Phage_GPD;Rhomboid;TssD;TssD;DUF3024;RBFA;Methyltransf_10;Dus;Sigma70_r2;Ketoacyl-synt_C;ketoacyl-synt;Aminotran_3;AAA_26;Aminotran_1_2;Semialdhyde_dhC;Semialdhyde_dh;LysM;BON;SH3_3;TPR_1;BatD;TPR_1;VWA;BatA;VWA;BatA;DUF58;AAA_lid_2;AAA_3;AlbA_2;Metallophos;ChlI;AAA_25;Rubredoxin_2
7263,GCA_000218485.2,GCA_000218485.2_contig116.region001,Others,Others,terpene.siderophore,4095,1896,['PF00282.19 PF13434.6 PF07690.16 PF13523.6 PF04183.12 PF06276.12 PF13523.6 PF04183.12 PF06276.12 PF07786.12 PF00378.20 PF12833.7 PF13715.6 PF07715.15 PF14298.6 PF03929.16 PF00581.20 PF00581.20 PF05834.12 PF04116.13 PF00494.19 PF01593.24 PF13411.6 PF06167.12 PF04055.21'],25,PAAR_motif;Phage_GPD;Rhomboid;TssD;TssD;DUF3024;RBFA;Methyltransf_10;Dus;Sigma70_r2;Ketoacyl-synt_C;ketoacyl-synt;Aminotran_3;AAA_26;Aminotran_1_2;Semialdhyde_dhC;Semialdhyde_dh;LysM;BON;SH3_3;TPR_1;BatD;TPR_1;VWA;BatA;VWA;BatA;DUF58;AAA_lid_2;AAA_3;AlbA_2;Metallophos;ChlI;AAA_25;Rubredoxin_2
4693,GCA_000224335.2,GCA_000224335.2_contig33.region001,PKSother,Others,T3PKS.arylpolyene.resorcinol,1848,1904,['PF00999.21 PF02080.21 PF07479.14 PF01210.23 PF04972.17 PF01476.20 PF14535.6 PF00501.28 PF03417.16 PF13450.6 PF01553.21 PF03176.15 PF03176.15 PF09835.9 PF00535.26 PF07977.13 PF13505.6 PF03548.15 PF01522.21 PF13723.6 PF02801.22 PF00109.26 PF00550.25 PF00891.18 PF02801.22 PF00109.26 PF03061.22 PF12698.7 PF00005.27 PF16169.5 PF14399.6 PF08541.10 PF00109.26 PF03279.13 PF00550.25 PF02801.22 PF00109.26 PF13561.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF00221.19 PF01494.19 PF01370.21 PF05649.13 PF01431.21 PF04389.17 PF00571.28 PF00571.28 PF01564.17 PF01648.20 PF02801.22 PF00109.26 PF07977.13 PF13561.6 PF02797.15 PF00195.19 PF13649.6 PF00890.24 PF10437.9 PF03099.19'],66,Rotamase;Rotamase_3;Rotamase;Rotamase;AAA_3;AAA_lid_2;Aconitase;Aconitase_C;AhpC-TSA;Lycopene_cycl;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1
7903,GCA_000224335.2,GCA_000224335.2_contig33.region001,Others,Others,T3PKS.arylpolyene.resorcinol,4095,5057,['PF00999.21 PF02080.21 PF07479.14 PF01210.23 PF04972.17 PF01476.20 PF14535.6 PF00501.28 PF03417.16 PF13450.6 PF01553.21 PF03176.15 PF03176.15 PF09835.9 PF00535.26 PF07977.13 PF13505.6 PF03548.15 PF01522.21 PF13723.6 PF02801.22 PF00109.26 PF00550.25 PF00891.18 PF02801.22 PF00109.26 PF03061.22 PF12698.7 PF00005.27 PF16169.5 PF14399.6 PF08541.10 PF00109.26 PF03279.13 PF00550.25 PF02801.22 PF00109.26 PF13561.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF00221.19 PF01494.19 PF01370.21 PF05649.13 PF01431.21 PF04389.17 PF00571.28 PF00571.28 PF01564.17 PF01648.20 PF02801.22 PF00109.26 PF07977.13 PF13561.6 PF02797.15 PF00195.19 PF13649.6 PF00890.24 PF10437.9 PF03099.19'],66,Rotamase;Rotamase_3;Rotamase;Rotamase;AAA_3;AAA_lid_2;Aconitase;Aconitase_C;AhpC-TSA;Lycopene_cycl;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1
